[2026-04-06T17:37:41.909+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 95, total-tokens, 1811, cost-ms, 4431, requestId, d65c96bc-3122-4344-97b3-ee088b13d7c9, temperature, 0
[2026-04-06T17:37:42.590+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 102, total-tokens, 1817, cost-ms, 5027, requestId, 16983295-459c-4bde-afd5-2eba119d1fdd, temperature, 0
[2026-04-06T17:37:42.761+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1718, completion-tokens, 161, total-tokens, 1879, cost-ms, 4898, requestId, 2c64487e-9897-4917-b94e-ed146aae56b5, temperature, 0
[2026-04-06T17:41:21.583+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 95, total-tokens, 1810, cost-ms, 5242, requestId, 7333228e-d29c-4a0f-8ff0-2534a1330af2, temperature, 0
[2026-04-06T17:41:22.626+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 84, total-tokens, 1800, cost-ms, 6338, requestId, 8f74034d-753c-48a3-9448-7379ee28028b, temperature, 0
[2026-04-06T17:45:11.984+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 90, total-tokens, 1806, cost-ms, 4416, requestId, 52c9fa01-8f3e-423d-b209-4c6314d324c5, temperature, 0
[2026-04-06T17:45:12.101+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 99, total-tokens, 1814, cost-ms, 4575, requestId, 011eae88-9fe0-4c9f-9716-53e1b3219107, temperature, 0
[2026-04-06T17:49:49.154+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 109, total-tokens, 1824, cost-ms, 4154, requestId, 54062fb0-5bd5-4961-8075-90d9b0801a08, temperature, 0
[2026-04-06T17:49:51.967+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 89, total-tokens, 1805, cost-ms, 6883, requestId, 14057632-2435-43fc-8fd7-6ebed49b060c, temperature, 0
[2026-04-06T17:54:32.285+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 86, total-tokens, 1802, cost-ms, 4884, requestId, 68e71052-0a0e-4f6e-864b-5301a7f79892, temperature, 0
[2026-04-06T17:54:34.150+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 109, total-tokens, 1824, cost-ms, 6904, requestId, b9bfe027-5c8b-4dec-b90c-a4e01531817e, temperature, 0
[2026-04-06T18:01:26.812+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 89, total-tokens, 1805, cost-ms, 7123, requestId, 4e90734c-ffc9-4e25-9375-dff1b8afa10c, temperature, 0
[2026-04-06T18:01:27.442+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1715, completion-tokens, 106, total-tokens, 1821, cost-ms, 7755, requestId, 44bdc851-3c67-4eb1-9556-f777097e0ef9, temperature, 0
[2026-04-06T18:14:28.926+08:00] model, qwen3.5-flash, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 1716, completion-tokens, 112, total-tokens, 1828, cost-ms, 5523, requestId, 55a53386-95e4-4ab3-82f1-5fceb3d13120, temperature, 0
